experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
154,0.03,0.0035,0.004,1.0,1.0,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,19.04.24 - 06:04
155,0.03,0.0035,0.006,1.0,1.0,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,19.04.24 - 06:04
156,0.03,0.0035,0.008,0.989,0.995,0.996,0.997,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.989,0.995,0.996,0.997,1.0,14.884,14.942,14.961,14.971,15.0,19.04.24 - 06:05
157,0.03,0.0035,0.01,0.752,0.876,0.917,0.938,0.583,-1,0.0,0.0,0.0,0.0,0.0,0.752,0.876,0.917,0.938,0.583,12.619,13.81,14.206,14.405,10.733,19.04.24 - 06:05
158,0.03,0.0035,0.012,0.541,0.752,0.835,0.876,0.517,-1,0.0,0.0,0.0,0.0,0.0,0.541,0.752,0.835,0.876,0.517,11.157,12.927,13.618,13.964,10.717,19.04.24 - 06:06
159,0.03,0.0035,0.014,0.551,0.688,0.792,0.844,0.483,-1,0.0,0.0,0.0,0.0,0.0,0.551,0.688,0.792,0.844,0.483,11.157,12.33,13.22,13.665,10.4,19.04.24 - 06:06
160,0.03,0.0035,0.016,0.439,0.572,0.715,0.786,0.383,-1,0.0,0.0,0.0,0.0,0.0,0.439,0.572,0.715,0.786,0.383,9.877,11.258,12.505,13.129,9.083,19.04.24 - 06:07
161,0.03,0.0035,0.018000000000000002,0.414,0.507,0.667,0.75,0.383,-1,0.0,0.0,0.0,0.0,0.0,0.414,0.507,0.667,0.75,0.383,9.525,10.525,11.976,12.732,8.7,19.04.24 - 06:07
162,0.03,0.0035,0.02,0.373,0.445,0.607,0.705,0.35,-1,0.0,0.0,0.0,0.0,0.0,0.373,0.445,0.607,0.705,0.35,8.389,9.466,11.096,12.072,8.0,19.04.24 - 06:08
163,0.03,0.0035,0.022000000000000002,0.339,0.44,0.589,0.692,0.267,-1,0.0,0.0,0.0,0.0,0.0,0.339,0.44,0.589,0.692,0.267,8.045,9.341,10.925,11.944,7.483,19.04.24 - 06:09
164,0.03,0.0035,0.024,0.307,0.374,0.518,0.638,0.267,-1,0.0,0.0,0.0,0.0,0.0,0.307,0.374,0.518,0.638,0.267,7.883,8.677,10.203,11.402,7.05,19.04.24 - 06:09
165,0.03,0.004,0.004,1.0,1.0,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,19.04.24 - 06:10
166,0.03,0.004,0.006,1.0,1.0,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,19.04.24 - 06:10
167,0.03,0.004,0.008,1.0,1.0,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,19.04.24 - 06:11
168,0.03,0.004,0.01,1.0,1.0,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,19.04.24 - 06:11
169,0.03,0.004,0.012,0.957,0.978,0.986,0.989,0.75,-1,0.0,0.0,0.0,0.0,0.0,0.957,0.978,0.986,0.989,0.75,14.588,14.794,14.863,14.897,12.567,19.04.24 - 06:12
170,0.03,0.004,0.014,0.732,0.866,0.911,0.933,0.617,-1,0.0,0.0,0.0,0.0,0.0,0.732,0.866,0.911,0.933,0.617,12.505,13.752,14.168,14.376,11.317,19.04.24 - 06:12
171,0.03,0.004,0.016,0.623,0.775,0.85,0.888,0.6,-1,0.0,0.0,0.0,0.0,0.0,0.623,0.775,0.85,0.888,0.6,11.75,13.1,13.733,14.05,11.533,19.04.24 - 06:13
172,0.03,0.004,0.018000000000000002,0.483,0.636,0.757,0.818,0.4,-1,0.0,0.0,0.0,0.0,0.0,0.483,0.636,0.757,0.818,0.4,10.612,12.013,13.008,13.506,9.55,19.04.24 - 06:13
173,0.03,0.004,0.02,0.478,0.589,0.726,0.794,0.417,-1,0.0,0.0,0.0,0.0,0.0,0.478,0.589,0.726,0.794,0.417,10.273,11.259,12.506,13.129,9.433,19.04.24 - 06:14
174,0.03,0.004,0.022000000000000002,0.437,0.519,0.672,0.754,0.383,-1,0.0,0.0,0.0,0.0,0.0,0.437,0.519,0.672,0.754,0.383,9.862,10.666,12.042,12.782,8.75,19.04.24 - 06:14
175,0.03,0.004,0.024,0.358,0.411,0.572,0.679,0.3,-1,0.0,0.0,0.0,0.0,0.0,0.358,0.411,0.572,0.679,0.3,8.487,9.362,10.979,11.984,7.85,19.04.24 - 06:15
176,0.039999999999999994,0.0005,0.004,0.219,0.21,0.269,0.424,0.217,10.0,0.218,0.187,0.138,0.104,0.217,0.003,0.032,0.14,0.327,0.0,4.462,5.008,6.462,8.335,4.35,19.04.24 - 06:15
177,0.039999999999999994,0.0005,0.006,0.145,0.207,0.28,0.43,0.1,30.0,0.127,0.146,0.136,0.102,0.1,0.019,0.062,0.153,0.335,0.0,4.413,5.246,6.608,8.416,3.9,19.04.24 - 06:16
178,0.039999999999999994,0.0005,0.008,0.146,0.186,0.276,0.425,0.1,31.0,0.122,0.133,0.125,0.094,0.1,0.024,0.058,0.161,0.339,0.0,4.279,5.068,6.535,8.336,3.817,19.04.24 - 06:17
179,0.039999999999999994,0.0005,0.01,0.055,0.079,0.166,0.348,0.05,38.0,0.055,0.067,0.082,0.062,0.05,0.0,0.017,0.091,0.292,0.0,4.003,4.532,5.849,7.9,3.95,19.04.24 - 06:17
180,0.039999999999999994,0.0005,0.012,0.029,0.06,0.151,0.334,0.033,47.0,0.029,0.049,0.081,0.061,0.033,0.0,0.012,0.083,0.283,0.0,3.867,4.151,5.378,7.507,3.867,19.04.24 - 06:18
