experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
820,0.15000000000000002,0.0035,0.01,15,42,0.079,0.144,0.253,0.412,0.057,0.031,0.023,0.016,0.012,0.033,0.053,0.126,0.241,0.403,0.033,5.768,6.767,7.867,9.386,5.183,22.05.24 - 17:06
821,0.16000000000000003,0.003,0.019999999999999997,18,26,0.072,0.086,0.115,0.251,0.067,0.072,0.083,0.097,0.079,0.067,0.0,0.002,0.022,0.176,0.0,3.898,4.003,4.621,6.448,3.767,22.05.24 - 17:06
822,0.16000000000000003,0.0045000000000000005,0.015,22,-1,0.237,0.228,0.222,0.302,0.25,0.237,0.228,0.221,0.18,0.25,0.0,0.0,0.002,0.125,0.0,4.333,4.328,4.446,5.939,4.333,22.05.24 - 17:07
823,0.18000000000000005,0.0045000000000000005,0.019999999999999997,16,28,0.074,0.107,0.161,0.314,0.067,0.066,0.08,0.074,0.056,0.067,0.009,0.032,0.094,0.264,0.0,4.047,4.722,5.881,7.645,3.933,22.05.24 - 17:08
824,0.13,0.0035,0.024999999999999998,21,-1,0.408,0.418,0.427,0.489,0.351,0.147,0.147,0.154,0.123,0.1,0.289,0.298,0.302,0.39,0.3,9.132,9.171,9.265,9.984,8.8,22.05.24 - 17:08
825,0.18000000000000005,0.0035,0.03,17,28,0.049,0.064,0.101,0.242,0.033,0.049,0.063,0.078,0.066,0.033,0.0,0.002,0.026,0.18,0.0,3.75,3.828,4.446,6.328,3.75,22.05.24 - 17:09
826,0.17000000000000004,0.0035,0.019999999999999997,16,29,0.067,0.096,0.142,0.295,0.05,0.067,0.079,0.081,0.061,0.05,0.0,0.018,0.068,0.24,0.0,3.943,4.393,5.436,7.288,3.933,22.05.24 - 17:10
827,0.13,0.0035,0.015,22,38,0.106,0.134,0.144,0.254,0.1,0.102,0.124,0.13,0.107,0.1,0.003,0.011,0.017,0.152,0.0,4.436,4.518,4.787,6.362,4.133,22.05.24 - 17:10
828,0.18000000000000005,0.0045000000000000005,0.024999999999999998,21,57,0.111,0.114,0.117,0.228,0.083,0.056,0.056,0.059,0.061,0.05,0.058,0.06,0.061,0.172,0.033,5.408,5.452,5.67,6.957,4.717,22.05.24 - 17:11
829,0.16000000000000003,0.0035,0.019999999999999997,17,28,0.053,0.078,0.124,0.276,0.033,0.051,0.067,0.081,0.062,0.033,0.004,0.015,0.051,0.221,0.0,3.873,4.275,5.239,7.07,3.75,22.05.24 - 17:12
830,0.17000000000000004,0.003,0.024999999999999998,19,22,0.043,0.053,0.077,0.2,0.033,0.043,0.052,0.068,0.064,0.033,0.0,0.001,0.01,0.139,0.0,3.717,3.767,4.111,5.818,3.717,22.05.24 - 17:12
831,0.15000000000000002,0.005,0.015,20,32,0.082,0.091,0.122,0.254,0.083,0.08,0.082,0.094,0.073,0.083,0.002,0.011,0.034,0.187,0.0,3.837,3.998,4.779,6.537,3.833,22.05.24 - 17:13
832,0.18000000000000005,0.005,0.024999999999999998,17,30,0.027,0.056,0.108,0.26,0.017,0.027,0.049,0.06,0.045,0.017,0.0,0.007,0.053,0.219,0.0,3.757,4.013,5.005,6.867,3.717,22.05.24 - 17:13
833,0.18000000000000005,0.005,0.015,20,-1,0.3,0.294,0.275,0.345,0.3,0.3,0.294,0.273,0.214,0.3,0.0,0.0,0.003,0.134,0.0,4.267,4.267,4.438,6.021,4.267,22.05.24 - 17:14
834,0.16000000000000003,0.004,0.019999999999999997,17,27,0.062,0.098,0.141,0.29,0.05,0.062,0.083,0.084,0.063,0.05,0.0,0.018,0.066,0.234,0.0,3.979,4.484,5.489,7.273,3.967,22.05.24 - 17:15
835,0.13,0.0035,0.03,20,-1,0.44,0.457,0.474,0.536,0.55,0.25,0.258,0.261,0.208,0.3,0.193,0.206,0.223,0.34,0.25,8.104,8.524,8.755,9.691,8.083,22.05.24 - 17:15
836,0.14,0.003,0.03,15,33,0.024,0.063,0.136,0.326,0.017,0.022,0.046,0.047,0.036,0.017,0.002,0.019,0.094,0.294,0.0,4.003,4.532,5.732,7.805,3.817,22.05.24 - 17:16
837,0.16000000000000003,0.004,0.015,17,29,0.071,0.086,0.133,0.292,0.067,0.068,0.076,0.075,0.056,0.067,0.006,0.015,0.066,0.242,0.0,4.138,4.492,5.526,7.364,4.033,22.05.24 - 17:16
